StudyID,GroupID,ExperimentID,EffectID,Author,Year,Journal,SpeciesCom,SpeciesSci,Class,WildLabRear,WildLabExp,Sex,ManipLifeStage,ManipLifeStage+,ManipType,ManipDirection,ManipDuration,ManipOffset,ManipPostDiet,ManipConditionEffect,ManipGroups,ManipNotes,ExpLifeStage,ExpAge,ExpType,ExpVar,RiskContext,ExpVarUnit,ExpRepeated,ExpNotes,nLC,meanLC,sdLC,seLC,CILC,nHC,meanHC,sdHC,seHC,CIHC,TestStatType,TestStatValue,df,P,SharedGroup,SharedN,Sharedmean,Sharedsd,RiskEffectDirection,Marginalised,DataLocation,DataPresentation,Exclude,ExclusionReason,Extraction notes
CD450,EG142B,EX168B,ES1054,Pillay,2016,Physiology and Behavior,African striped mouse,Rhabdomys dilectus chakae,mammal,lab,lab,male,both,"or were raised on one diet to weaning and switched to an alternate diet post-weaning(Day 16): ...From Day 70, when mice were sexually mature, 20 individuals (10 males, 10 females) per treatment were subjected to three successive experiments,",quality,dual,56,0,continuous,yes (cites another study of theirs),no,"Pairs were randomly assigned to one ofthree isocaloric (digestible energy 15.9 kJ/g) diets, which differed in protein levels: i) baseline protein (BP; 19% protein; n = 51 pairs), which is the level of protein that we successfully use in our breeding colony; ii) high protein (HP; 24% protein; n = 43 pairs); and iii) low protein (LP; 10% protein; n = 46 pairs). Experimental diets were produced by the Agricultural Research Council, South Africa, and their macronutrient composition is described in Nel et al. [6]. Each pair received 20 g of the diet per day, and consumed 10–15 g (159–239 kJ/g) daily. Water was available at all times.",adult,70 days ofage,novel environment,number of area transitions,novelenvironment_activity,count,yes,"On both days, the test individual was released into the centre of the arena using a small closed plastic carrier (15 × 10 cm), which was washed between tests [49].... we created a 3 cm peripheral zone in the inside perimeter of the tank and recorded i) the duration of time spent by the test mouse in the centre and periphery, and ii) the number of transitions between the periphery to centre and back to periphery.",20,16.05,7.857112098,1.756903676,,20,27.65,15.42818678,3.449847441,,,,,,S0824,NA,NA,NA,positive,yes,CD450_Copy of Protein data Moran 2019.xlsx,author correspondence,,,open field trial 2
CD450,EG142B,EX168B,ES1055,Pillay,2016,Physiology and Behavior,African striped mouse,Rhabdomys dilectus chakae,mammal,lab,lab,male,both,"or were raised on one diet to weaning and switched to an alternate diet post-weaning(Day 16): ...From Day 70, when mice were sexually mature, 20 individuals (10 males, 10 females) per treatment were subjected to three successive experiments,",quality,dual,59,0,continuous,yes (cites another study of theirs),no,"Pairs were randomly assigned to one ofthree isocaloric (digestible energy 15.9 kJ/g) diets, which differed in protein levels: i) baseline protein (BP; 19% protein; n = 51 pairs), which is the level of protein that we successfully use in our breeding colony; ii) high protein (HP; 24% protein; n = 43 pairs); and iii) low protein (LP; 10% protein; n = 46 pairs). Experimental diets were produced by the Agricultural Research Council, South Africa, and their macronutrient composition is described in Nel et al. [6]. Each pair received 20 g of the diet per day, and consumed 10–15 g (159–239 kJ/g) daily. Water was available at all times.",adult,70 days ofage,novel object,time spent exploring objects,novelobject_response,sec,no,"During training sessions, two identical plastic figurines (5 cm high × 3 cm wide) were placed 10 cm from either the left or right corners of the arena (the side onwhich each figurinewas placed onwas alternated between tests). . We scored the first 5 min because test subjects showed a marked reduction in interest in objects after about 4.65 min (cumulative graph of exploratory frequencies). During retention sessions, test mice were again presented with two
objects: one of the familiar objects used during training and a novel object of the same size but different in appearance. Individuals were allowed to explore the objects again for 10 min, and we scored the time spent investigating both objects during the first 5 min. Tanks and objects were thoroughly cleaned with warm soapy water and 70% alcohol between sessions.",20,102.75,42.61316204,9.528592706,,20,248.9,30.85432666,6.899237181,,,,,,S0825,NA,NA,NA,positive,yes,CD450_Copy of Protein data Moran 2019.xlsx,author correspondence,,,Et (explore training) - time spent with both identical sample objects (O1 + O2) during the training trial; 
CD450,EG142B,EX168B,ES1056,Pillay,2016,Physiology and Behavior,African striped mouse,Rhabdomys dilectus chakae,mammal,lab,lab,male,both,"or were raised on one diet to weaning and switched to an alternate diet post-weaning(Day 16): ...From Day 70, when mice were sexually mature, 20 individuals (10 males, 10 females) per treatment were subjected to three successive experiments,",quality,dual,60,0,continuous,yes (cites another study of theirs),no,"Pairs were randomly assigned to one ofthree isocaloric (digestible energy 15.9 kJ/g) diets, which differed in protein levels: i) baseline protein (BP; 19% protein; n = 51 pairs), which is the level of protein that we successfully use in our breeding colony; ii) high protein (HP; 24% protein; n = 43 pairs); and iii) low protein (LP; 10% protein; n = 46 pairs). Experimental diets were produced by the Agricultural Research Council, South Africa, and their macronutrient composition is described in Nel et al. [6]. Each pair received 20 g of the diet per day, and consumed 10–15 g (159–239 kJ/g) daily. Water was available at all times.",adult,70 days ofage,novel object,time spent exploring objects,novelobject_response,sec,no,"During training sessions, two identical plastic figurines (5 cm high × 3 cm wide) were placed 10 cm from either the left or right corners of the arena (the side onwhich each figurinewas placed onwas alternated between tests). . We scored the first 5 min because test subjects showed a marked reduction in interest in objects after about 4.65 min (cumulative graph of exploratory frequencies). During retention sessions, test mice were again presented with two
objects: one of the familiar objects used during training and a novel object of the same size but different in appearance. Individuals were allowed to explore the objects again for 10 min, and we scored the time spent investigating both objects during the first 5 min. Tanks and objects were thoroughly cleaned with warm soapy water and 70% alcohol between sessions.",20,130.25,55.11220612,12.32346393,,20,207.3,52.28977962,11.69235018,,,,,,S0826,NA,NA,NA,positive,yes,CD450_Copy of Protein data Moran 2019.xlsx,author correspondence,,,Er (explore retention) - time spent with novel object and familiar object (N+O) during the retention trial; 
CD450,EG142B,EX168B,ES1057,Pillay,2016,Physiology and Behavior,African striped mouse,Rhabdomys dilectus chakae,mammal,lab,lab,male,both,"or were raised on one diet to weaning and switched to an alternate diet post-weaning(Day 16): ...From Day 70, when mice were sexually mature, 20 individuals (10 males, 10 females) per treatment were subjected to three successive experiments,",quality,dual,60,0,continuous,yes (cites another study of theirs),no,"Pairs were randomly assigned to one ofthree isocaloric (digestible energy 15.9 kJ/g) diets, which differed in protein levels: i) baseline protein (BP; 19% protein; n = 51 pairs), which is the level of protein that we successfully use in our breeding colony; ii) high protein (HP; 24% protein; n = 43 pairs); and iii) low protein (LP; 10% protein; n = 46 pairs). Experimental diets were produced by the Agricultural Research Council, South Africa, and their macronutrient composition is described in Nel et al. [6]. Each pair received 20 g of the diet per day, and consumed 10–15 g (159–239 kJ/g) daily. Water was available at all times.",adult,70 days ofage,novel object,relative time spent with novel object,novelobject_response,sec,no,"During training sessions, two identical plastic figurines (5 cm high × 3 cm wide) were placed 10 cm from either the left or right corners of the arena (the side onwhich each figurinewas placed onwas alternated between tests). . We scored the first 5 min because test subjects showed a marked reduction in interest in objects after about 4.65 min (cumulative graph of exploratory frequencies). During retention sessions, test mice were again presented with two
objects: one of the familiar objects used during training and a novel object of the same size but different in appearance. Individuals were allowed to explore the objects again for 10 min, and we scored the time spent investigating both objects during the first 5 min. Tanks and objects were thoroughly cleaned with warm soapy water and 70% alcohol between sessions.",20,53.45,54.91282565,12.2788811,,20,50.1,83.40131262,18.64910044,,,,,,S0827,NA,NA,NA,positive,yes,CD450_Copy of Protein data Moran 2019.xlsx,author correspondence,,,Da - absolute difference between time spent with the novel object and sample object during the retention trial (N ? O); 
CD454,EG143,EX170,ES1058,Poulsen,2010,Journal of Fish Biology,North Sea houting,Coregonus oxyrinchus,ray-finned fish,lab,lab,unknown,juvenile,juvenile North Sea houting ,starvation,restrict,2.75,0,continuous,"yes (mass, condition)",no,"Fish were fed a regular diet of frozen red midge Chironomus sp. larvae to satiation (Borcherding et al., 2006) three times per day. Prior to trials, well-fed fish were fed the regular diet while food-deprived fish were kept unfed for 60–72 h in agreement with previous studies on similarly sized fishes (Krause et al., 1998, 1999). ",juvenile,unknown,novel environment,refuge use,novelenvironment_refugeuse,percentage (individual),no,"Individual fish for the experiments were transferred from the holding tank to the
artificial streams using a 0·3 l container. Fish were guided into the container without any contact with air. Using a transparent chamber (j in Fig. 1) (length: 80 mm; width 40 mm; height 80 mm), fish were acclimated to the artificial stream for 15 min prior to data collection (Krause et al., 1998, 1999). The chamber was positioned centrally between overhead covers in the upstream (k in Fig. 1) and the downstream direction (l in Fig. 1). Covers were placed 20 mm above the water surface and provided shade to function as refuges (Pusey & Arthington, 2003). Using this design, the following variables were quantified: (1) the percentage of
time spent in a refuge and (2) time to dispersal. Trials started by lifting the acclimation chamber and ended when fish crossed the downstream or the upstream border.",30,21.65775401,27.82547752,5.080213904,,30,39.92869875,27.33731125,4.991087344,,,,,,S0828,NA,NA,NA,negative,no,Figure 2,figure,,,
CD454,EG143,EX170,ES1059,Poulsen,2010,Journal of Fish Biology,North Sea houting,Coregonus oxyrinchus,ray-finned fish,lab,lab,unknown,juvenile,juvenile North Sea houting ,starvation,restrict,2.75,0,continuous,"yes (mass, condition)",no,"Fish were fed a regular diet of frozen red midge Chironomus sp. larvae to satiation (Borcherding et al., 2006) three times per day. Prior to trials, well-fed fish were fed the regular diet while food-deprived fish were kept unfed for 60–72 h in agreement with previous studies on similarly sized fishes (Krause et al., 1998, 1999). ",juvenile,unknown,dispersal,latency to disperse,dispersalmigration,sec,no,"Individual fish for the experiments were transferred from the holding tank to the artificial streams using a 0·3 l container. Fish were guided into the container without any contact with air. Using a transparent chamber (j in Fig. 1) (length: 80 mm; width 40 mm; height 80 mm), fish were acclimated to the artificial stream for 15 min prior to data collection (Krause et al., 1998, 1999). The chamber was positioned centrally between overhead covers in the upstream (k in Fig. 1) and the downstream direction (l in Fig. 1). Covers were placed 20 mm above the water surface and provided shade to function as refuges (Pusey & Arthington, 2003). Using this design, the following variables were quantified: (1) the percentage of
time spent in a refuge and (2) time to dispersal. Trials started by lifting the acclimation chamber and ended when fish crossed the downstream or the upstream border.",30,571.0037175,855.1802013,156.133829,,30,190.3345725,504.9635474,92.19330855,,,,,,S0829,NA,NA,NA,negative,no,Figure 3,figure,,,
CD457,EG144,EX171,ES1060,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,latency to contact food,novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,142.5,123.3477069,43.61,,7,137.5,78.97567664,29.85,,,,,,S0830,NA,NA,NA,negative,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144,EX171,ES1061,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,"time exploring (wall push, tank bumps)",novelenvironment_exploration,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,291.5,475.7414424,168.2,,7,156.1,189.2770488,71.54,,,,,,S0831,NA,NA,NA,positive,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144,EX171,ES1062,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time in contact with food,novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,1734,1077.347892,380.9,,7,1802,1965.528649,742.9,,,,,,S0832,NA,NA,NA,positive,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144,EX171,ES1063,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time inactive,novelenvironment_activity,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,1241,704.2783541,249,,7,1423,999.8294205,377.9,,,,,,S0833,NA,NA,NA,negative,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144,EX171,ES1064,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time actively swimming,novelenvironment_activity,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,71.84,96.53421777,34.13,,7,60.59,52.38587596,19.8,,,,,,S0834,NA,NA,NA,positive,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144,EX171,ES1065,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,latency to move,novelenvironment_exploration,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,43.22,71.87033324,25.41,,7,27.77,37.86070126,14.31,,,,,,S0835,NA,NA,NA,negative,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144,EX171,ES1066,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time sweeping for food,novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,204.8,254.1907457,89.87,,7,69.98,37.331551,14.11,,,,,,S0836,NA,NA,NA,positive,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144,EX171,ES1067,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,mixed,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time wiping (feeding behaviour),novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",8,55.31,50.77026689,17.95,,7,86.85,145.8073548,55.11,,,,,,S0837,NA,NA,NA,positive,no,Table S5,table,exclude_all,finer scale data extracted,
CD457,EG144A,EX171A,ES1067A,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,latency to contact food,novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,181545.5,217410.6,,,2,171203,103379,,,,,,,S0838,NA,NA,NA,negative,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
CD457,EG144A,EX171A,ES1067B,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,"time exploring (wall push, tank bumps)",novelenvironment_exploration,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,39553,21630.4,,,2,242069.5,330334.1,,,,,,,S0839,NA,NA,NA,positive,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
CD457,EG144A,EX171A,ES1067C,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time in contact with food,novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,2152750,868935.2,,,2,1695054,184707.6,,,,,,,S0840,NA,NA,NA,positive,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
CD457,EG144A,EX171A,ES1067D,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time inactive,novelenvironment_activity,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,1224856,884799.2,,,2,1467820,208541.3,,,,,,,S0841,NA,NA,NA,negative,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
CD457,EG144A,EX171A,ES1067E,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time actively swimming,novelenvironment_activity,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,19674,13043.29,,,2,74366,41691.02,,,,,,,S0842,NA,NA,NA,positive,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
CD457,EG144A,EX171A,ES1067F,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,latency to move,novelenvironment_exploration,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,88695.5,96018.74,,,2,54673.5,59151.6,,,,,,,S0843,NA,NA,NA,negative,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
CD457,EG144A,EX171A,ES1067G,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time sweeping for food,novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,113098,73584.36,,,2,77927.5,39847.59,,,,,,,S0844,NA,NA,NA,positive,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
CD457,EG144A,EX171A,ES1067H,Prater,2018,Hormones and Behavior,South African clawed frog,Xenopus laevis,amphibian,commercial,lab,female,juvenile,Here we test the hypothesis that tectal CRF receptors modulate food intake in juvenile Xenopus laevis ,starvation,restrict,7,0,continuous,yes (mass),no,"One group of frogs (n=8, Mb=0.69 ± 0.060 g) was deprived of food for 1 wk before testing. Another group of frogs (n=7, Mb=0.89 ± 0.07 g) were fed regularly (Section 2.1).",juvenile,post-metamorphic juveniles,novel environment,time wiping (feeding behaviour),novelenvironment_feeding,sec,no,"At t=0, 0.6 g of chicken liver (Pilgrim's Pride Corporation, Greenly, CO) was dropped into the tank and, after 60 min (t=60 min), the remaining liver was weighed. Food intake was calculated as a percentage of body mass. The entire 60 min trial was recorded with a low-light video camera (Panasonic WV – CP604, Kadoma, Japan). After recording, individual feeding behavior (Table 1) were scored using JWatcher 1.0, as per the handbook's instructions (Blumstein and Daniel, 2007). ",2,48909.5,23530.39,,,2,41596.5,18140.82,,,,,,,S0845,NA,NA,NA,positive,no,CD457_Rawdata Christine behavior food intake H&B food dep_reformatted,author correspondence,,,
