"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"1084","CD419","SearchQuery","yes","yes","yes","EG242","EX298","ES1024","Nandini","1999","Freshwater Biology","Asplanchna sieboldi","Asplanchna sieboldi","monogonont","lab","lab","female","adult","starvation","restrict",0.3125,0.020833333,"starvation","unknown","control_HC5","adult","novel environment","prey ingested","novelenvironment_feeding","count","5","14.70623145","2.635014837","1.178414459",NA,"5","6.078369723","0.687045124","0.30725592",NA,"","",NA,"","S0799",5,6.078369723,0.687045124,"positive","no","Figure 1","figure","","",6.708333333,"non-systematic",0.00310559001257668,1.90335053458683,0.0465838509339917
"1085","CD419","SearchQuery","yes","yes","yes","EG242","EX298","ES1025","Nandini","1999","Freshwater Biology","Asplanchna sieboldi","Asplanchna sieboldi","monogonont","lab","lab","female","adult","starvation","restrict",0.645833333,0.020833333,"starvation","unknown","control_HC5","adult","novel environment","prey ingested","novelenvironment_feeding","count","5","10.13333333","1.102222222","0.492928763",NA,"5","6.078369723","0.687045124","0.30725592",NA,"","",NA,"","S0799",5,6.078369723,0.687045124,"positive","no","Figure 1","figure","","",6.708333333,"non-systematic",0.00310559001257668,1.90335053458683,0.0962732918805602
"1086","CD419","SearchQuery","yes","yes","yes","EG243","EX299","ES1026","Nandini","1999","Freshwater Biology","Asplanchna sieboldi","Asplanchna sieboldi","monogonont","lab","lab","female","adult","starvation","restrict",0.020833333,0.020833333,"starvation","unknown","control_HC5","adult","novel environment","prey ingested","novelenvironment_feeding","count","5","6.175438596","0.842105263","0.376600923",NA,"5","7.246346434","1.339737991","0.599149044",NA,"","",NA,"","S0800",5,7.246346434,1.339737991,"positive","no","Figure 1","figure","","",6.708333333,"non-systematic",0.00310559001257668,1.90335053458683,0.00310559001257668
"1087","CD419","SearchQuery","yes","yes","yes","EG243","EX299","ES1027","Nandini","1999","Freshwater Biology","Asplanchna sieboldi","Asplanchna sieboldi","monogonont","lab","lab","female","adult","starvation","restrict",0.0625,0.020833333,"starvation","unknown","control_HC5","adult","novel environment","prey ingested","novelenvironment_feeding","count","5","8.268613139","1.506569343","0.673758293",NA,"5","7.246346434","1.339737991","0.599149044",NA,"","",NA,"","S0800",5,7.246346434,1.339737991,"positive","no","Figure 1","figure","","",6.708333333,"non-systematic",0.00310559001257668,1.90335053458683,0.00931677018679835
"1088","CD419","SearchQuery","yes","yes","yes","EG243","EX299","ES1028","Nandini","1999","Freshwater Biology","Asplanchna sieboldi","Asplanchna sieboldi","monogonont","lab","lab","female","adult","starvation","restrict",0.145833333,0.020833333,"starvation","unknown","control_HC5","adult","novel environment","prey ingested","novelenvironment_feeding","count","5","13.05514158","1.538002981","0.687815843",NA,"5","7.246346434","1.339737991","0.599149044",NA,"","",NA,"","S0800",5,7.246346434,1.339737991,"positive","no","Figure 1","figure","","",6.708333333,"non-systematic",0.00310559001257668,1.90335053458683,0.0217391303861734
"1089","CD419","SearchQuery","yes","yes","yes","EG243","EX299","ES1029","Nandini","1999","Freshwater Biology","Asplanchna sieboldi","Asplanchna sieboldi","monogonont","lab","lab","female","adult","starvation","restrict",0.3125,0.020833333,"starvation","unknown","control_HC5","adult","novel environment","prey ingested","novelenvironment_feeding","count","5","20.65281899","3.026706231","1.353584176",NA,"5","7.246346434","1.339737991","0.599149044",NA,"","",NA,"","S0800",5,7.246346434,1.339737991,"positive","no","Figure 1","figure","","",6.708333333,"non-systematic",0.00310559001257668,1.90335053458683,0.0465838509339917
"1090","CD419","SearchQuery","yes","yes","yes","EG243","EX299","ES1030","Nandini","1999","Freshwater Biology","Asplanchna sieboldi","Asplanchna sieboldi","monogonont","lab","lab","female","adult","starvation","restrict",0.645833333,0.020833333,"starvation","unknown","control_HC5","adult","novel environment","prey ingested","novelenvironment_feeding","count","5","10.98666667","1.6","0.715541753",NA,"5","7.246346434","1.339737991","0.599149044",NA,"","",NA,"","S0800",5,7.246346434,1.339737991,"positive","no","Figure 1","figure","","",6.708333333,"non-systematic",0.00310559001257668,1.90335053458683,0.0962732918805602
"1091","CD420","SearchQuery","partial","yes","yes","EG141","EX167","ES1031","Näslund","2017","Ecology of Freshwater Fish ","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",12,26.5,"high and low ration groups crossed","yes (growth, weight, morphology)","no","juvenile","refuge emergence","log time to emerge","novelenvironment_refugeemergence","log sec","39","4.327009314","1.52322573","0.243911324",NA,"39","3.783373577","1.777135895","0.28456949",NA,"","",NA,"","S0801",NA,NA,NA,"negative","yes","Figure 4a","figure","","",13870,"systematic",0.00191059841384283,9.53748351330888,0.000865176640230714
"1092","CD420","SearchQuery","partial","yes","yes","EG141","EX167","ES1032","Näslund","2017","Ecology of Freshwater Fish ","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",12,26.5,"high and low ration groups crossed","yes (growth, weight, morphology)","no","juvenile","refuge emergence","latency to reach endpoint (after emergence)","novelenvironment_exploration","sec","35","153.6992543","209.1829477","35.35837165",NA,"35","91.11428686","155.085307","26.21420141",NA,"","",NA,"","S0802",NA,NA,NA,"negative","yes","CD420_Data_NäslundEFF.xlsx","author correspondence","","",13870,"systematic",0.00191059841384283,9.53748351330888,0.000865176640230714
"1093","CD420","SearchQuery","partial","yes","yes","EG141","EX167","ES1033","Näslund","2017","Ecology of Freshwater Fish ","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",24.5,1,"control","yes (growth, weight, morphology)","no","juvenile","refuge emergence","log time to emerge","novelenvironment_refugeemergence","log sec","41","4.185497102","1.684105234","0.26301305",NA,"37","3.910798691","1.658541119","0.27266248",NA,"","",NA,"","S0803",NA,NA,NA,"negative","yes","Figure 4a","figure","","",13870,"systematic",7.20980533525595e-05,9.53748351330888,0.00176640230713771
"1094","CD420","SearchQuery","partial","yes","yes","EG141","EX167","ES1034","Näslund","2017","Ecology of Freshwater Fish ","brown trout","Salmo trutta","ray-finned fish","wild","lab","unknown","juvenile","quantity","restrict",24.5,1,"control","yes (growth, weight, morphology)","no","juvenile","refuge emergence","latency to reach endpoint (after emergence)","novelenvironment_exploration","sec","35","114.1127029","167.5981125","28.32925156",NA,"36","132.1960764","205.9264501","34.32107502",NA,"","",NA,"","S0804",NA,NA,NA,"negative","yes","CD420_Data_NäslundEFF.xlsx","author correspondence","","",13870,"systematic",7.20980533525595e-05,9.53748351330888,0.00176640230713771
"1095","CD450","SearchQuery","yes","yes","yes","EG142A","EX168A","ES1044","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","female","both","quality","dual",55,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","time spent in open area","novelenvironment_refugeuse","sec","20","7.505","5.910781852","1.321691002",NA,"20","11.375","7.949437253","1.777548208",NA,"","",NA,"","S0814",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1096","CD450","SearchQuery","yes","yes","yes","EG142A","EX168A","ES1045","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","female","both","quality","dual",56,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","time spent in open area","novelenvironment_refugeuse","sec","20","8.795","6.62638069","1.481703767",NA,"20","13.525","8.436067617","1.886362065",NA,"","",NA,"","S0815",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1097","CD450","SearchQuery","yes","yes","yes","EG142A","EX168A","ES1046","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","female","both","quality","dual",55,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","number of area transitions","novelenvironment_activity","count","20","11.55","11.65501925","2.606141532",NA,"20","20.15","9.932800527","2.221041719",NA,"","",NA,"","S0816",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1098","CD450","SearchQuery","yes","yes","yes","EG142A","EX168A","ES1047","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","female","both","quality","dual",56,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","number of area transitions","novelenvironment_activity","count","20","17.05","11.91847306","2.665051594",NA,"20","26.05","10.58039398","2.365848018",NA,"","",NA,"","S0817",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1099","CD450","SearchQuery","yes","yes","yes","EG142A","EX168A","ES1048","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","female","both","quality","dual",59,0,"continuous","yes (cites another study of theirs)","no","adult","novel object","time spent exploring objects","novelobject_response","sec","20","119.6","38.18431753","8.538272967",NA,"20","259.85","56.30020566","12.5891087",NA,"","",NA,"","S0818",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1100","CD450","SearchQuery","yes","yes","yes","EG142A","EX168A","ES1049","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","female","both","quality","dual",60,0,"continuous","yes (cites another study of theirs)","no","adult","novel object","time spent exploring objects","novelobject_response","sec","20","152.45","70.64550122","15.7968143",NA,"20","185.05","40.54948244","9.067139919",NA,"","",NA,"","S0819",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1101","CD450","SearchQuery","yes","yes","yes","EG142A","EX168A","ES1050","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","female","both","quality","dual",60,0,"continuous","yes (cites another study of theirs)","no","adult","novel object","relative time spent with novel object","novelobject_response","sec","20","51.85","60.39542942","13.50482857",NA,"20","39.95","55.48966238","12.40786571",NA,"","",NA,"","S0820",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1102","CD450","SearchQuery","yes","yes","yes","EG142B","EX168B","ES1051","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","male","both","quality","dual",55,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","time spent in open area","novelenvironment_refugeuse","sec","20","10.84","12.15831533","2.718681956",NA,"20","9.26","8.056537065","1.801496454",NA,"","",NA,"","S0821",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1103","CD450","SearchQuery","yes","yes","yes","EG142B","EX168B","ES1052","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","male","both","quality","dual",56,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","time spent in open area","novelenvironment_refugeuse","sec","20","11.21","15.85177725","3.54456515",NA,"20","11.24","9.148620834","2.045693808",NA,"","",NA,"","S0822",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1104","CD450","SearchQuery","yes","yes","yes","EG142B","EX168B","ES1053","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","male","both","quality","dual",55,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","number of area transitions","novelenvironment_activity","count","20","10","7.745966692","1.732050808",NA,"20","22.45","14.36543732","3.212209438",NA,"","",NA,"","S0823",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1105","CD450","SearchQuery","yes","yes","yes","EG142B","EX168B","ES1054","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","male","both","quality","dual",56,0,"continuous","yes (cites another study of theirs)","no","adult","novel environment","number of area transitions","novelenvironment_activity","count","20","16.05","7.857112098","1.756903676",NA,"20","27.65","15.42818678","3.449847441",NA,"","",NA,"","S0824",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1106","CD450","SearchQuery","yes","yes","yes","EG142B","EX168B","ES1055","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","male","both","quality","dual",59,0,"continuous","yes (cites another study of theirs)","no","adult","novel object","time spent exploring objects","novelobject_response","sec","20","102.75","42.61316204","9.528592706",NA,"20","248.9","30.85432666","6.899237181",NA,"","",NA,"","S0825",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1107","CD450","SearchQuery","yes","yes","yes","EG142B","EX168B","ES1056","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","male","both","quality","dual",60,0,"continuous","yes (cites another study of theirs)","no","adult","novel object","time spent exploring objects","novelobject_response","sec","20","130.25","55.11220612","12.32346393",NA,"20","207.3","52.28977962","11.69235018",NA,"","",NA,"","S0826",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1108","CD450","SearchQuery","yes","yes","yes","EG142B","EX168B","ES1057","Pillay","2016","Physiology and Behavior","African striped mouse","Rhabdomys dilectus","mammal","lab","lab","male","both","quality","dual",60,0,"continuous","yes (cites another study of theirs)","no","adult","novel object","relative time spent with novel object","novelobject_response","sec","20","53.45","54.91282565","12.2788811",NA,"20","50.1","83.40131262","18.64910044",NA,"","",NA,"","S0827",NA,NA,NA,"positive","yes","CD450_Copy of Protein data Moran 2019.xlsx","author correspondence","","",NA,NA,NA,NA,NA
"1118","CD454","SearchQuery","yes","yes","yes","EG143","EX170","ES1058","Poulsen","2010","Journal of Fish Biology","North Sea houting","Coregonus oxyrinchus","ray-finned fish","lab","lab","unknown","juvenile","starvation","restrict",2.75,0,"continuous","yes (mass, condition)","no","juvenile","novel environment","refuge use","novelenvironment_refugeuse","percentage (individual)","30","21.65775401","27.82547752","5.080213904",NA,"30","39.92869875","27.33731125","4.991087344",NA,"","",NA,"","S0828",NA,NA,NA,"negative","no","Figure 2","figure","","",4380,"non-systematic",0,8.38480400337049,0.000627853881278539
"1119","CD454","SearchQuery","yes","yes","yes","EG143","EX170","ES1059","Poulsen","2010","Journal of Fish Biology","North Sea houting","Coregonus oxyrinchus","ray-finned fish","lab","lab","unknown","juvenile","starvation","restrict",2.75,0,"continuous","yes (mass, condition)","no","juvenile","dispersal","latency to disperse","dispersalmigration","sec","30","571.0037175","855.1802013","156.133829",NA,"30","190.3345725","504.9635474","92.19330855",NA,"","",NA,"","S0829",NA,NA,NA,"negative","no","Figure 3","figure","","",4380,"non-systematic",0,8.38480400337049,0.000627853881278539
"1120","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067A","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","latency to contact food","novelenvironment_feeding","sec","2","181545.5","217410.6","",NA,"2","171203","103379","",NA,"","",NA,"","S0838",NA,NA,NA,"negative","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1121","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067B","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time exploring (wall push, tank bumps)","novelenvironment_exploration","sec","2","39553","21630.4","",NA,"2","242069.5","330334.1","",NA,"","",NA,"","S0839",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1122","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067C","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time in contact with food","novelenvironment_feeding","sec","2","2152750","868935.2","",NA,"2","1695054","184707.6","",NA,"","",NA,"","S0840",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1123","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067D","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time inactive","novelenvironment_activity","sec","2","1224856","884799.2","",NA,"2","1467820","208541.3","",NA,"","",NA,"","S0841",NA,NA,NA,"negative","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1124","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067E","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time actively swimming","novelenvironment_activity","sec","2","19674","13043.29","",NA,"2","74366","41691.02","",NA,"","",NA,"","S0842",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1125","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067F","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","latency to move","novelenvironment_exploration","sec","2","88695.5","96018.74","",NA,"2","54673.5","59151.6","",NA,"","",NA,"","S0843",NA,NA,NA,"negative","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1126","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067G","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time sweeping for food","novelenvironment_feeding","sec","2","113098","73584.36","",NA,"2","77927.5","39847.59","",NA,"","",NA,"","S0844",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1127","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067H","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time wiping (feeding behaviour)","novelenvironment_feeding","sec","2","48909.5","23530.39","",NA,"2","41596.5","18140.82","",NA,"","",NA,"","S0845",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1128","CD457","SearchQuery","yes","yes","yes","EG144A","EX171A","ES1067I","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","female","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","hindlimb kicks (feeding behaviour)","novelenvironment_feeding","sec","2","121.5","4.949747","",NA,"2","122","18.38477","",NA,"","",NA,"","S0846",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1129","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067J","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","latency to contact food","novelenvironment_feeding","sec","4","123023.5","41687.23","",NA,"4","120684.5","64909.12","",NA,"","",NA,"","S0847",NA,NA,NA,"negative","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1130","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067K","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time exploring (wall push, tank bumps)","novelenvironment_exploration","sec","4","417533.5","468132.92","",NA,"4","113074","86069.94","",NA,"","",NA,"","S0848",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1131","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067L","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time in contact with food","novelenvironment_feeding","sec","4","1525145","1011860","",NA,"4","1856157","1487755","",NA,"","",NA,"","S0849",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1132","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067M","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time inactive","novelenvironment_activity","sec","4","1248875","598815.9","",NA,"4","1400682","1188017.8","",NA,"","",NA,"","S0850",NA,NA,NA,"negative","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1133","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067N","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time actively swimming","novelenvironment_activity","sec","4","97923.25","94189.07","",NA,"4","53703","56120.33","",NA,"","",NA,"","S0851",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1134","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067O","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","latency to move","novelenvironment_exploration","sec","4","20484","36290.53","",NA,"4","14310.5","12490.11","",NA,"","",NA,"","S0852",NA,NA,NA,"negative","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1135","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067P","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time sweeping for food","novelenvironment_feeding","sec","4","250672.5","265598.09","",NA,"4","66002.25","37403.49","",NA,"","",NA,"","S0853",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1136","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067Q","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","time wiping (feeding behaviour)","novelenvironment_feeding","sec","4","58506.75","54726.22","",NA,"4","109475.5","167959.22","",NA,"","",NA,"","S0854",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1137","CD457","SearchQuery","yes","yes","yes","EG144B","EX171B","ES1067R","Prater","2018","Hormones and Behavior","South African clawed frog","Xenopus laevis","amphibian","commercial","lab","male","juvenile","starvation","restrict",7,0,"continuous","yes (mass)","no","juvenile","novel environment","hindlimb kicks (feeding behaviour)","novelenvironment_feeding","sec","4","190","48.73739","",NA,"4","149.25","75.43375","",NA,"","",NA,"","S0855",NA,NA,NA,"positive","no","CD457_Rawdata Christine behavior food intake H&B food dep_reformatted","author correspondence","","",9928,"systematic",0,9.20311432688444,0.000705076551168413
"1146","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1068","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","5","0.390140845","0.177464789","0.079364666",NA,"7","0.025352113","0.021126761","0.007985165",NA,"","",NA,"","S0856",NA,NA,NA,"positive","no","Figure 1b,d","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1147","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1069","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","5","0.095774648","0.066197183","0.02960428",NA,"7","0.025352113","0.021126761","0.007985165",NA,"","",NA,"","S0857",NA,NA,NA,"positive","no","Figure 1b,d","figure","","",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1148","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1070","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","5","0.145892351","0.065155807","0.029138563",NA,"4","0.025495751","0","0",NA,"","",NA,"","S0858",NA,NA,NA,"positive","no","Figure 1g,h","figure","exclude_lncvr","data cannot be used to calculate log ratio",129,"non-systematic",0,4.85981240436167,0.0542635658914729
"1149","CD459","SearchQuery","yes","yes","yes","EG244","EX300","ES1071","Prete","2002","Animal Behaviour","African mantis","Sphodromantis lineola","insect","lab","lab","male","adult","quantity","restrict",7,0,"continuous","unknown","no","adult","novel object","strike rate","novelobject_response","count per trial","5","0.04815864","0.053824363","0.024070987",NA,"4","0.025495751","0","0",NA,"","",NA,"","S0859",NA,NA,NA,"positive","no","Figure 1g,h","figure","exclude_lncvr","data cannot be used to calculate log ratio",129,"non-systematic",0,4.85981240436167,0.0542635658914729
