"","StudyID","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipLifeStage.","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipNotes","ManipGroups","ExpLifeStage","ExpAge","ExpType","ExpVar","RiskContext","ExpVarUnit","ExpRepeated","ExpNotes","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","Extraction.notes"
"1215","CD515","EG159","EX191","ES1215","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","quantity","restrict",10,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","activity","novelenvironment_activity","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","26.99481865","2.692306955","1.554404145",NA,"3","28.44559585","1.615384173","0.932642487",NA,"","","","","positive","no","Figure 7a","figure","exclude_all","effective sample sizes too low for multiple comparisons","Exp2. 0.5% x 10 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1216","CD515","EG159","EX191","ES1216","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","starvation","restrict",30,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","activity","novelenvironment_activity","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","21.70984456","5.205126779","3.005181347",NA,"3","28.44559585","1.615384173","0.932642487",NA,"","","","","positive","no","Figure 7a","figure","exclude_all","effective sample sizes too low for multiple comparisons","Exp2. 0% x 30 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1217","CD515","EG159","EX191","ES1217","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","starvation","restrict",54,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","activity","novelenvironment_activity","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","16.83937824","1.435897043","0.829015544",NA,"3","28.44559585","1.615384173","0.932642487",NA,"","","","","positive","no","Figure 7a","figure","","","Exp2. 0% x 54 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1218","CD515","EG158","EX190","ES1218","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","quantity","restrict",10,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","areas explored","novelenvironment_exploration","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","11.35051546","0.428548653","0.24742268",NA,"3","7.871134021","0.64282298","0.371134021",NA,"","","","","positive","no","Figure 7b","figure","exclude_all","effective sample sizes too low for multiple comparisons","Exp1: 2.5% x 10 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1219","CD515","EG158","EX190","ES1219","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","quantity","restrict",10,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","areas explored","novelenvironment_exploration","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","10.7628866","0.96423447","0.556701031",NA,"3","7.871134021","0.64282298","0.371134021",NA,"","","","","positive","no","Figure 7b","figure","exclude_all","effective sample sizes too low for multiple comparisons","Exp1: 0.5% x 10 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1220","CD515","EG158","EX190","ES1220","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","quantity","restrict",30,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","areas explored","novelenvironment_exploration","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","9.618556701","1.205293088","0.695876289",NA,"3","7.871134021","0.64282298","0.371134021",NA,"","","","","positive","no","Figure 7b","figure","","","Exp1. 0.5% x 30 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1221","CD515","EG159","EX191","ES1221","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","quantity","restrict",10,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","areas explored","novelenvironment_exploration","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","10.26804124","1.312430251","0.757731959",NA,"3","7.097938144","0.535685817","0.309278351",NA,"","","","","positive","no","Figure 7b","figure","exclude_all","effective sample sizes too low for multiple comparisons","Exp2. 0.5% x 10 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1222","CD515","EG159","EX191","ES1222","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","starvation","restrict",30,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","areas explored","novelenvironment_exploration","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","7.902061856","0.96423447","0.556701031",NA,"3","7.097938144","0.535685817","0.309278351",NA,"","","","","positive","no","Figure 7b","figure","exclude_all","effective sample sizes too low for multiple comparisons","Exp2. 0% x 30 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1223","CD515","EG159","EX191","ES1223","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","starvation","restrict",54,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","areas explored","novelenvironment_exploration","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","7.515463918","0.482117235","0.278350515",NA,"3","7.097938144","0.535685817","0.309278351",NA,"","","","","positive","no","Figure 7b","figure","","","Exp2. 0% x 54 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
"1224","CD515","EG160","EX192","ES1224","Sogard","1996","Marine Ecology Progress Series","walleye pollock","Theragra chalcogramma","ray-finned fish","wild","lab","unknown","juvenile","Juvenile walleye pollock used in laboratory experiments were collected from May to July in seagrass habitats of Puget Sound","quantity","restrict",10,82,"continuous","yes (growth, body condition)","Fish were randomly assigned to 1 of 6 rations, with 5 fish per group and 3 or 4 groups for each ration level. Ration treatments included the following: 10, 2.5, and 0.5 % body weight (BW) d-' for 10 d, 0.5 % BW d-' for 30 d, no food for 30 d, and no food for 54 d (Table 1). Fish were maintained on the assigned ration in 440 1 tanks for the prescribed period of time prior to observation in the experimental tanks. Food (for positive ration groups) was scattered across the water surface once each day, with the time of feeding varied across days. ","control_HC5_sharedcontrolsexcluded","juvenile","unknown","novel environment","activity","novelenvironment_activity","count","no","Four sets of 10 min observations (3 sets in Expt 2) were recorded during daytime hours on each day of an experiment. Spatial positions of the fish were tabulated by dividing the tank into 16 blocks (4 vertical columns and 4 horizontal rows) and notlng the location of each fish every minute over a 10 min period. Indices of general motor activity were calculated by following the movements of a single fish and counting the number of times it moved from one block to another over a 5 min period. Activity ambit, the area of movement by an individual moving through the tank, was derived as the total number of different blocks that a fish entered during the 5 min activity observation. Ambit values could range from 3 (the fish remained in the same block for 5 min) to 16 (the fish visited each block in the tank at least once during 5 min). Activity levels and activity ambits of 2 individuals were measured in conjunction with each 10 min set of fish location data. Activity scores and spatial positions were measured during both isothermal and stratified conditions. For Expts 1 and 2, pollock behavior was monitored for 4 d. A group was added to the tank on the morning of Day 1 and allowed 3 or 4 h of acclirnation prior to observations. The first 2 days were isothermal. On the morning of the 3rd day, a thermocline was set up in the tank, and fish were observed for an additional 2 d under stratified conditions. Water temperatures during isothermal conditions were maintained between 8.5 and 9.5""C. In stratified treatments, average water temperatures were 8.5""C in the upper layer and 2.0°C in the lower layer. The thermocline was positioned at slightly below the mid-point of the tank, with the full thermal transition extending across approximately 30 cm. When the water column in the tank was stratified, we measured the duration in seconds of each excursion (dive) by a fish Into th.e cold water beneath the thermocl~ne during a 10 min period. The percentage of time spent in cold water was calculated by summing these dive durations and dividing by 3000 s (the maximum amount possible for 5 fish combined during 10 min). Because individuals could not be recognized, it was not possible to determine the dive history for each fish separ","3","30.10362694","3.769229737","2.176165803",NA,"3","25.12953368","5.025639649","2.901554404",NA,"","","","","positive","no","Figure 7a","figure","exclude_all","effective sample sizes too low for multiple comparisons","2.5% x 10 day group, condition was reduced in all restricted groups and only 10% group showed growth so this group was taken as the control"
